sn1,sn2,mismatch,length,vsname_abbr
R2012010374,R2109032408,125,467,AdV-2
R2012010374,R2109032528,217,467,AdV-2
R2012010374,R2109032536,238,467,AdV-2
R2012010374,R2109032545,201,467,AdV-2
R2012010374,R2109032571,194,467,AdV-2
R2109032408,R2109032528,154,467,AdV-2
R2109032408,R2109032536,152,467,AdV-2
R2109032408,R2109032545,115,467,AdV-2
R2109032408,R2109032571,159,467,AdV-2
R2109032528,R2109032536,208,467,AdV-2
R2109032528,R2109032545,200,467,AdV-2
R2109032528,R2109032571,204,467,AdV-2
R2109032536,R2109032545,136,467,AdV-2
R2109032536,R2109032571,187,467,AdV-2
R2109032545,R2109032571,203,467,AdV-2
