sn1,sn2,mismatch,length,vsname_abbr
R2109032306,R2109032333,24,93,PicoV-12
R2109032306,R2109032336,23,93,PicoV-12
R2109032306,R2109032360,23,93,PicoV-12
R2109032306,R2109032390,23,93,PicoV-12
R2109032306,R2109032501,40,93,PicoV-12
R2109032333,R2109032336,3,93,PicoV-12
R2109032333,R2109032360,1,93,PicoV-12
R2109032333,R2109032390,18,93,PicoV-12
R2109032333,R2109032501,83,93,PicoV-12
R2109032336,R2109032360,2,93,PicoV-12
R2109032336,R2109032390,19,93,PicoV-12
R2109032336,R2109032501,84,93,PicoV-12
R2109032360,R2109032390,17,93,PicoV-12
R2109032360,R2109032501,82,93,PicoV-12
R2109032390,R2109032501,79,93,PicoV-12
