sn1,sn2,mismatch,length,vsname_abbr
R2012010370,R2107024467,101,492,CoV-3
R2012010370,R2107024478,137,492,CoV-3
R2012010370,R2109032332,144,492,CoV-3
R2012010370,R2109032341,142,492,CoV-3
R2012010370,R2109032353,171,492,CoV-3
R2012010370,R2109032359,157,492,CoV-3
R2012010370,R2109032360,134,492,CoV-3
R2012010370,R2109032419,187,492,CoV-3
R2012010370,R2109032424,179,492,CoV-3
R2012010370,R2109032557,183,492,CoV-3
R2107024467,R2107024478,112,492,CoV-3
R2107024467,R2109032332,90,492,CoV-3
R2107024467,R2109032341,82,492,CoV-3
R2107024467,R2109032353,167,492,CoV-3
R2107024467,R2109032359,84,492,CoV-3
R2107024467,R2109032360,105,492,CoV-3
R2107024467,R2109032419,160,492,CoV-3
R2107024467,R2109032424,155,492,CoV-3
R2107024467,R2109032557,162,492,CoV-3
R2107024478,R2109032332,126,492,CoV-3
R2107024478,R2109032341,125,492,CoV-3
R2107024478,R2109032353,168,492,CoV-3
R2107024478,R2109032359,144,492,CoV-3
R2107024478,R2109032360,123,492,CoV-3
R2107024478,R2109032419,188,492,CoV-3
R2107024478,R2109032424,180,492,CoV-3
R2107024478,R2109032557,180,492,CoV-3
R2109032332,R2109032341,75,492,CoV-3
R2109032332,R2109032353,135,492,CoV-3
R2109032332,R2109032359,73,492,CoV-3
R2109032332,R2109032360,53,492,CoV-3
R2109032332,R2109032419,153,492,CoV-3
R2109032332,R2109032424,148,492,CoV-3
R2109032332,R2109032557,152,492,CoV-3
R2109032341,R2109032353,162,492,CoV-3
R2109032341,R2109032359,94,492,CoV-3
R2109032341,R2109032360,75,492,CoV-3
R2109032341,R2109032419,184,492,CoV-3
R2109032341,R2109032424,179,492,CoV-3
R2109032341,R2109032557,178,492,CoV-3
R2109032353,R2109032359,169,492,CoV-3
R2109032353,R2109032360,167,492,CoV-3
R2109032353,R2109032419,211,492,CoV-3
R2109032353,R2109032424,203,492,CoV-3
R2109032353,R2109032557,202,492,CoV-3
R2109032359,R2109032360,97,492,CoV-3
R2109032359,R2109032419,186,492,CoV-3
R2109032359,R2109032424,180,492,CoV-3
R2109032359,R2109032557,181,492,CoV-3
R2109032360,R2109032419,193,492,CoV-3
R2109032360,R2109032424,187,492,CoV-3
R2109032360,R2109032557,179,492,CoV-3
R2109032419,R2109032424,0,492,CoV-3
R2109032419,R2109032557,84,492,CoV-3
R2109032424,R2109032557,80,492,CoV-3
