sn1,sn2,mismatch,length,vsname_abbr
R2107024465,R2109032312,318,919,CoV-4
R2107024465,R2109032373,238,919,CoV-4
R2107024465,R2109032375,692,919,CoV-4
R2107024465,R2109032388,714,919,CoV-4
R2107024465,R2109032392,742,919,CoV-4
R2107024465,R2109032394,630,919,CoV-4
R2107024465,R2109032402,748,919,CoV-4
R2107024465,R2109032410,681,919,CoV-4
R2107024465,R2109032411,749,919,CoV-4
R2107024465,R2109032432,750,919,CoV-4
R2107024465,R2109032448,637,919,CoV-4
R2107024465,R2109032454,731,919,CoV-4
R2107024465,R2109032455,671,919,CoV-4
R2107024465,R2109032458,716,919,CoV-4
R2107024465,R2109032466,719,919,CoV-4
R2107024465,R2109032520,751,919,CoV-4
R2107024465,R2109032536,736,919,CoV-4
R2109032312,R2109032373,98,919,CoV-4
R2109032312,R2109032375,482,919,CoV-4
R2109032312,R2109032388,500,919,CoV-4
R2109032312,R2109032392,492,919,CoV-4
R2109032312,R2109032394,427,919,CoV-4
R2109032312,R2109032402,515,919,CoV-4
R2109032312,R2109032410,469,919,CoV-4
R2109032312,R2109032411,516,919,CoV-4
R2109032312,R2109032432,529,919,CoV-4
R2109032312,R2109032448,427,919,CoV-4
R2109032312,R2109032454,488,919,CoV-4
R2109032312,R2109032455,441,919,CoV-4
R2109032312,R2109032458,478,919,CoV-4
R2109032312,R2109032466,478,919,CoV-4
R2109032312,R2109032520,518,919,CoV-4
R2109032312,R2109032536,497,919,CoV-4
R2109032373,R2109032375,508,919,CoV-4
R2109032373,R2109032388,528,919,CoV-4
R2109032373,R2109032392,534,919,CoV-4
R2109032373,R2109032394,470,919,CoV-4
R2109032373,R2109032402,554,919,CoV-4
R2109032373,R2109032410,496,919,CoV-4
R2109032373,R2109032411,555,919,CoV-4
R2109032373,R2109032432,567,919,CoV-4
R2109032373,R2109032448,461,919,CoV-4
R2109032373,R2109032454,528,919,CoV-4
R2109032373,R2109032455,489,919,CoV-4
R2109032373,R2109032458,518,919,CoV-4
R2109032373,R2109032466,519,919,CoV-4
R2109032373,R2109032520,557,919,CoV-4
R2109032373,R2109032536,543,919,CoV-4
R2109032375,R2109032388,1,919,CoV-4
R2109032375,R2109032392,112,919,CoV-4
R2109032375,R2109032394,138,919,CoV-4
R2109032375,R2109032402,86,919,CoV-4
R2109032375,R2109032410,60,919,CoV-4
R2109032375,R2109032411,87,919,CoV-4
R2109032375,R2109032432,101,919,CoV-4
R2109032375,R2109032448,82,919,CoV-4
R2109032375,R2109032454,119,919,CoV-4
